cím;rendezo;gyarto;ev;hossz
Spider Man 2;Sam Raimi;Amerikai Egyesült Államok;2004;127
Én és a hercegem;Martha Coolidge;Amerikai Egyesült Államok, Csehország;2004;111
Garfield;Peter Hewitt;Amerikai Egyesült Államok;2004;80
Édes álmok;Soren Kragh-Jacobsen;Egyesült Királyság, Dánia, Svédország;2003;104
Zsernyákok;Josef Fares;Svédország, Dánia;2003;90
A hazugsággyáros (Shattered Glass);Billy Ray;Amerikai Egyesült Államok, Kanada;2003;94
Az élet nélkülem;Ismeretlen;Spanyolország, Kanada;2003;106
Disney Históriák 3.;Wolfgang Reitherman, Joshua Meador, Les Clark, Hamilton Luske;Amerikai Egyesült Államok;2003;61
Disney Históriák 4.;Wolfgang Reitherman, Joshua Meador, Hamilton Luske, Les Clark;Amerikai Egyesült Államok;2003;49
Nyafka X;Richard Benjamin;Amerikai Egyesült Államok;2003;84
Johnny, a jóarcú;Walter Hill;Amerikai Egyesült Államok;1989;94
Mickey, a kedvenc;Ismeretlen;Amerikai Egyesült Államok;2003;58
Goofy, a kedvenc;Ismeretlen;Amerikai Egyesült Államok;2004;52
Donald, a kedvenc;Ismeretlen;Amerikai Egyesült Államok;2004;51
Micimackó csodálatos világa-Mindenki egyetért;Karl Geurs;Amerikai Egyesült Államok;2003;150
Micimackó csodálatos világa - Kis barátok;Karl Geurs;Amerikai Egyesült Államok;2004;120
A három muskétás;Donovan Cook;Amerikai Egyesült Államok;2004;68
Serpico;Sidney Lumet;Olaszország, Amerikai Egyesült Államok;1973;130
Idővonal;Richard Donner;Amerikai Egyesült Államok;2003;116
Napsütötte Toscana;Audrey Wells;Amerikai Egyesült Államok, Olaszország;2003;113
Terminátor 2. Az ítélet napja;James Cameron;Franciaország, Amerikai Egyesült Államok;1991;137
Az ítélet eladó;Gary Fleder;Amerikai Egyesült Államok;2003;127
Rocksuli;Richard Linklater;Németország, Amerikai Egyesült Államok;2003;98
Gáztámadás;David Huey;Amerikai Egyesült Államok;2001;94
Diploma előtt;Mike Nichols;Amerikai Egyesült Államok;1967;106
Jó fiú!;John Robert Hoffman;Amerikai Egyesült Államok;2003;87
Négy esküvő és egy temetés;Mike Newell;Egyesült Királyság;1994;117
Getno;Salamon András;Magyarország;2004;95
Evil Dead - Gonosz halott 2. Halott vagy hajnalra;Sam Raimi;Amerikai Egyesült Államok;1987;84
Az utolsó pillanat;Matthew Parkhill;Spanyolország, Egyesült Királyság;2003;92
The Doors;Oliver Stone;Amerikai Egyesült Államok;1991;140
Farkasokkal táncoló;Kevin Costner;Amerikai Egyesült Államok;1990;181
Kis nagy színész;Sam Weisman;Amerikai Egyesült Államok;2003;98
Pillangó-hatás;Eric Bress, J. Mackye Gruber;Amerikai Egyesült Államok;2003;113
Felül semmi;Nigel Cole;Egyesült Királyság, Amerikai Egyesült Államok;2003;108
Tucatjával olcsóbb;Shawn Levy;Amerikai Egyesült Államok;2003;98
Elemi ösztön;Paul Verhoeven;Amerikai Egyesült Államok;1992;127
A macska, le a kalappal;Bo Welch;Amerikai Egyesült Államok;2003;82
Felejtés bére;John Woo;Amerikai Egyesült Államok;2003;119
Derült égből Polly;John Hamburg;Amerikai Egyesült Államok;2004;90
Honey;Bille Woodruff;Amerikai Egyesült Államok;2003;94
Őslények országa 10.;Charles Grosvenor;Amerikai Egyesült Államok;2003;84
Calcium kölyök;Alex De Rakoff;Egyesült Királyság;2004;89
Shrek 2.;Andrew Adamson, Kelly Asbury, Conrad Vernon;Amerikai Egyesült Államok;2004;93
Csenő Manók;Peter Hewitt;Egyesült Királyság, Amerikai Egyesült Államok;1997;89
Sztárom a párom (Notting Hill);Ismeretlen;Egyesült Királyság, Amerikai Egyesült Államok;1999;124
Őslények országa I.;Don Bluth;Írország, Amerikai Egyesült Államok;1988;69
Dealer;Fliegauf Benedek;Magyarország;2004;130
Szex, csajok, Ibiza;Gernot Roll;Németország;2004;83
Szigorúan piszkos ügyek;Wai-Keung Lau, Alan Mak;Hongkong;2002;119
Egészséges erotika;Tímár Péter;Magyarország;1985;94
Abigél I-II.;Zsurzs Éva;Magyarország;1978;290
Futrinka utca;Szabó Attila;Magyarország;1979;195
Arthur király;Antoine Fuqua;Írország, Amerikai Egyesült Államok;2004;126
Se ördög se angyal;Cédric Klapisch;Franciaország;2002;111
Black Mor szigete;Jean François Laguionie;Franciaország;2004;85
A japán szerető;Sue Brooks;Ausztrália;2003;110
Drogtanya;James Cox;Kanada, Amerikai Egyesült Államok;2003;104
Angyalszív;Alan Parker;Kanada, Egyesült Királyság, Amerikai Egyesült Államok;1987;113
A keselyű három napja;Sydney Pollack;Amerikai Egyesült Államok;1975;117
Az országút fantomja;Roert Harmon;Amerikai Egyesült Államok;1986;97
Hideghegy;Anthony Minghella;Amerikai Egyesült Államok;2003;154
Szekta;Marcus Adams;Luxemburg, Egyesült Királyság;1997;91
Tizenhárom;Catherine Hardwicke;Amerikai Egyesült Államok;2003;100
Bosszúvágy;Michael Winner;Amerikai Egyesült Államok;1974;93
Fék nélkül;Louis-Pascal Couvelaire;Franciaország;2003;103
Elvarázsolt kastély;Rob Minkoff;Amerikai Egyesült Államok;2003;88
Farkasok szövetsége;Christophe Gans;Franciaország;2001;142
Ballistic: Robbanásig feltöltve;Wych Kaosayananda;Németország, Amerikai Egyesült Államok;2002;91
A Bourne csapda;Paul Greengrass;Németország, Amerikai Egyesült Államok;2004;108
Stepfordi feleségek;Frank Oz;Amerikai Egyesült Államok;2004;93
A sötétség krónikája;David Twohy;Amerikai Egyesült Államok;2004;119
Bajos csajok;Mark S. Waters;Kanada, Amerikai Egyesült Államok;2004;97
Egy makulátlan elme örök ragyogása;Michel Gondry;Amerikai Egyesült Államok;2004;108
Szezon;Török Ferenc;Magyarország;2004;92
Rossz nevelés;Pedro Almodóvar;Spanyolország;2003;106
Megfojtott szabadság;Christine Rose;Amerikai Egyesült Államok;2004;90
Kill Bill 2.;Quentin Tarantino;Amerikai Egyesült Államok;2004;137
A Fallal szemben;Fatih Akin;Németország, Törökország;2004;121
Dalok a konyhából;Bent Hamer;Svédország, Norvégia;2003;95
A visszatérés;Andrei Zvyagintsev;Oroszország;2003;105
Szigorúan piszkos ügyek 3.;Wai-keung Lau;Hongkong;2003;118
Rambo: Az első  vér;Ted Kotcheff;Amerikai Egyesült Államok;1982;93
Vörös Szonja;Richard Fleischer;Amerikai Egyesült Államok, Hollandia;1985;89
Pokolfajzat;Guillermo del Toro;Amerikai Egyesült Államok;2004;122
Macskanő;Pitof;Amerikai Egyesült Államok;2004;104
Lélekgyilkos;Laurence Malkin;Hollandia;2001;96
Kutyám Jerry Lee 2.;Ismeretlen;Amerikai Egyesült Államok;1999;101
A Pentagon - ügyirat;Rod Holcomb;Amerikai Egyesült Államok;2003;99
Pitch Black - 22 évente sötétség;David Twohy;Amerikai Egyesült Államok;2000;109
Van Helsing: Londoni küldetés;Sharon Bridgeman;Amerikai Egyesült Államok;2004;30
Spartacus;Stanley Kubrick;Amerikai Egyesült Államok;1960;197
Riddick Animalt;Peter Chung;Amerikai Egyesült Államok;2004;35
Minden jöhet;Burr Steers;Amerikai Egyesült Államok;2002;98
Szex és New York második évfolyam 1-5. rész;Több rendező;Amerikai Egyesült Államok;1998;150
Euro túra;Alec Berg, Jeff Schaffer;Csehország, Amerikai Egyesült Államok;2004;93
Feketék fehéren;Keenen Ivory Wayans;Amerikai Egyesült Államok;2004;109
Vágta;Gary Ross;Amerikai Egyesült Államok;2003;140
Van Helsing;Stephen Sommers;Amerikai Egyesült Államok, Csehország;2004;131
Határok nélkül;Martin Campbell;Amerikai Egyesült Államok, Németország;2003;127
Fahrenheit 9/11;Michael Moore;Amerikai Egyesült Államok;2004;122
Nem nagy ügy;Bernard Rapp;Franciaország, Belgium;2003;103
Háború a Földön;Roger Christian;Amerikai Egyesült Államok;2000;118
Mélyen az erőden;Lionel Delplanque;Franciaország;2000;90
Yonggary - Támad a hüllő;Hyung-rae Shim;Dél-Korea;1999;96
A kísérlet;Oliver Hirschbiegel;Németország;2001;120
Egy sorozatgyilkos nyara;Spike Lee;Amerikai Egyesült Államok;1999;142
Chopper - A kegyetlen;Andrew Dominik;Ausztrália;2000;94
A 13. harcos;John McTiernan;Amerikai Egyesült Államok;1998;102
A tűzben edzett férfi;Tony Scott;Egyesült Királyság, Amerikai Egyesült Államok;2004;125
Kidobós: Sok flúg disznót győz;Rawson Marshall Thurber;Amerikai Egyesült Államok, Németország;2004;92
A falu;M. Night Shyamalan;Amerikai Egyesült Államok;2004;108
Anaconda 2.: Fekete orchidea;Dwight H. Little;Amerikai Egyesült Államok;2004;97
Én, a robot;Alex Proyas;Amerikai Egyesült Államok;2004;115
Álmodozók;Bernardo Bertolucci;Olaszország, Amerikai Egyesült Államok, Franciaország;2003;115
A bálnalovas;Niki Caro;Németország, Új-Zéland;2002;101
Új Eldorádó;Kocsis Tibor;Magyarország;2004;80
In this world;Michael Winterbottom;Egyesült Királyság;2002;88
Collateral - A halál záloga;Michael Mann;Amerikai Egyesült Államok;2004;115
Carandiru;Héctor Babenco;Argentína, Brazília;2003;145
Monsieur Ibrahim - a Korán virágai;François Dupeyron;Franciaország;2003;96
Osama;Siddiq Barmak;Afganisztán, Japán, Hollandia;2003;83
The football factory;Nick Love;Egyesült Királyság;2004;91
Tamara;Hajdu Szabolcs;Magyarország;2003;75
Perlasca, egy igaz ember története;Alberto Negrin;Franciaország, Magyarország, Olaszország;2002;197
Bolondok éneke;Bereczki Csaba;Magyarország, Franciaország;2003;106
Schultze gets the blues;Michael Schorr;Németország;2003;114
Terminál;Steven Spielberg;Amerikai Egyesült Államok;2004;128
Sex és New York második évf. 6-10. rész;Több rendező;Amerikai Egyesült Államok;2002;150
Hidegvérrel;Jonathan Kaplan;Amerikai Egyesült Államok;1996;178
Bűn és bűnhődés;Joseph Sargent;Amerikai Egyesült Államok;1998;120
Valódi szőke;Tom Dicillo;Amerikai Egyesült Államok;1997;105
Tündérek és koboldok;John Henderson;Egyesült Királyság, Amerikai Egyesült Államok;1999;139
Charleston;Marcello Fondato;Olaszország;1978;93
Hard time: the premonition;David S. Cass Sr.;Amerikai Egyesült Államok;1999;100
Hard time: Hostage Hotel;Hal Needham;Amerikai Egyesült Államok;1999;88
Nehéz napok;Burt Reynolds;Amerikai Egyesült Államok;1998;90
Utazás a Föld középpontja felé;Több rendező;Amerikai Egyesült Államok;1999;178
Három fölösleges ember;Jacques Deray;Franciaország;1980;93
Varian háborúja;Lionel Chetwynd;Amerikai Egyesült Államok, Egyesült Királyság, Kanada;2001;121
Hófehérke;Caroline Thompson;Amerikai Egyesült Államok, Kanada;2001;153
On the beach;Russell Mulcahy;Amerikai Egyesült Államok;1959;195
Connie és Carla;Michael Lembeck;Amerikai Egyesült Államok;2004;108
Már megint bérgyilkos a szomszédom;Howard Deutch;Amerikai Egyesült Államok;2004;98
Az elnök emberére talál;Donald Petrie;Amerikai Egyesült Államok;2004;110
Mackótestvér;Robert Walker, Aaron Blaise;Amerikai Egyesült Államok;2003;85
Esőember;Barry Levinson;Amerikai Egyesült Államok;1988;133
Hegylakó;Russell Mulcahy;Egyesült Királyság, Amerikai Egyesült Államok;1986;116
Sarokba szorítva;Charles S. Dutton;Amerikai Egyesült Államok, Németország;2004;150
Sex és New York második évf. 11-14.;Ismeretlen;Amerikai Egyesült Államok;2002;120
Csillagok háborúja trilógia;George Lucas;Amerikai Egyesült Államok;1983;376
Krokodil Dundee 2.;John Cornell;Amerikai Egyesült Államok;1988;108
Rap, revü, Rómeó;Oláh J. Gábor;Magyarország;2004;82
Dugipénz;Richard Benjamin;Amerikai Egyesült Államok;1994;110
Egy hisztérika feljegyzései;Sara Sugarman;Amerikai Egyesült Államok;2004;89
A legjobb védekezés;Willard Huyck;Amerikai Egyesült Államok;1984;94
A fekete paripa;Carroll Ballard;Amerikai Egyesült Államok;1979;118
A fekete paripa visszatér;Robert Dalva;Amerikai Egyesült Államok;1983;103
Egy kis ravaszság;Delbert Mann;Amerikai Egyesült Államok;1962;99
Robbanófej akció;David Huey;Amerikai Egyesült Államok;2005;100
A fiatalkorú;Matthew Ryan Hoge;Amerikai Egyesült Államok;2003;108
Vonzó vér;Richard Brandes;Amerikai Egyesült Államok;2004;95
Testi kapcsolatok;Mike Nichols;Amerikai Egyesült Államok;1971;98
Belső útvesztő;Roland Suso Richter;Amerikai Egyesült Államok, Egyesült Királyság;2003;90
Alamo- A 13 napos ostrom;John Lee Hancock;Amerikai Egyesült Államok;2004;137
A háború kísérletei;Ryan Little;Amerikai Egyesült Államok;2003;90
Bűnös szívek;Bruce Beresford;Amerikai Egyesült Államok;1986;105
Defektes derbi;Christopher Erskin;Amerikai Egyesült Államok;2004;97
Krisztus utolsó megkísértése;Martin Scorsese;Amerikai Egyesült Államok, Kanada;1988;164
A rettegés foka (1991);Martin Scorsese;Amerikai Egyesült Államok;1991;128
Starsky és Hutch;Todd Phillips;Amerikai Egyesült Államok;2004;101
Az Apokalipszis angyalai-Bíbor folyók 2.;Olivier Dahan;Egyesült Királyság, Olaszország, Franciaország;2004;97
Torremolinos 73 - Avagy szex, hazugság, super 8;Pablo Berger;Spanyolország, Dánia;2003;91
Csajok a csúcson 2.;Dennis Gansel;Németország;2001;88
Dühöngés;Karim Dridi;Franciaország;2003;105
Argo;Árpa Attila;Magyarország;2004;103
Apja lánya;Kevin Smith;Amerikai Egyesült Államok;2004;102
A rém;Patty Jenkins;Németország, Amerikai Egyesült Államok;2003;109
Sületlen paradicsom;Jay Chandrasekhar;Amerikai Egyesült Államok;2004;104
Jéghideg otthon;Mike Figgis;Egyesült Királyság, Amerikai Egyesült Államok, Kanada;2003;118
Total Recall - Emlékmás;Paul Verhoeven;Amerikai Egyesült Államok;1990;113
A ragadozó;John McTiernan;Amerikai Egyesült Államok;1987;107
Copperfield Dávid;Peter Medak;Amerikai Egyesült Államok;2000;180
Pelenkás bajkeverő;Patrick Alessandrin;Franciaország, Spanyolország;2003;90
A repülő osztály;Tomy Wigand;Németország;2003;110
Tökös átverés;Jean-Marie Poiré;Franciaország, Németország;2002;102
Darkness - Rettegés háza;Jaume Balaugero;Spanyolország, Amerikai Egyesült Államok;2002;88
Banditák;Barry Levinson;Amerikai Egyesült Államok;2001;123
A közellenség;Tony Scott;Amerikai Egyesült Államok;1998;132
Az utolsó elély;Tony Scott;Amerikai Egyesült Államok;1995;116
Nils Holgersson 7-8.;Ismeretlen;Japán;1980;48
Holnapután;Roland Emmerich;Amerikai Egyesült Államok;2004;124
Ronin;John Frankenheimer;Amerikai Egyesült Államok;1998;122
A bátrak igazsága;Edward Zwick;Amerikai Egyesült Államok;1996;116
Neveletlen hercegnő;Garry Marshall;Amerikai Egyesült Államok;2001;111
A nagy busz;James Frawley;Amerikai Egyesült Államok;1976;88
Star Trek 4. A hazatérés;Leonard Nimoy;Amerikai Egyesült Államok;1986;119
Mackó-show a kék házban 3.;Mitchell Kriegman;Amerikai Egyesült Államok;1997;30
Napfivér, Holdnővér;Franco Zeffirelli;Olaszország, Egyesült Királyság;1972;122
Jake visszalő;George Sherman;Amerikai Egyesült Államok;1971;110
Alkalom szüli az orvost;Michael Apted;Amerikai Egyesült Államok;1987;100
Kivert kutya;Kevin Brodie;Belgium, Amerikai Egyesült Államok;1999;100
Aladdin;John Musker, Ron Clements;Amerikai Egyesült Államok;1992;90
A sötétség fejedelme;John Carpenter;Amerikai Egyesült Államok;1987;102
Air America;Roger Spottiswoode;Amerikai Egyesült Államok;1990;113
Lenny;Bob Fosse;Amerikai Egyesült Államok;1974;111
Shogun;Jerry London;Japán, Amerikai Egyesült Államok;1980;60
A legjobb dobás;David Anspaugh;Amerikai Egyesült Államok;1986;114
Lököttek;Tony Bill;Amerikai Egyesült Államok;1990;90
Menekülés az életbe;Rebecca Miller;Amerikai Egyesült Államok;2002;86
Fények, nagyváros;James Bridges;Japán, Amerikai Egyesült Államok;1988;107
A dzsentlemanus;Jonathan Lynn;Amerikai Egyesült Államok;1992;112
Emlékezz a titánokra;Boaz Yakin;Amerikai Egyesült Államok;2000;113
Hurrikán;Norman Jewison;Amerikai Egyesült Államok;1999;146
Dr. Dolittle ;Ismeretlen;Amerikai Egyesült Államok;1998;85
Dr. Dolittle 2.;Steve Carr;Amerikai Egyesült Államok;2000;87
Botrány;Michael Caton-Jones;Egyesült Királyság;1989;106
Svindlerek;Stephen Frears;Amerikai Egyesült Államok;1990;110
Tabaluga 3.;Ismeretlen;Ausztrália;2001;23
Pizzás;Balogh György;Magyarország;2001;102
Sebezhetetlen;M. Night Shyamalan;Amerikai Egyesült Államok;2000;106
Hatodik érzék;M. Night Shyamalan;Amerikai Egyesült Államok;1999;107
Lapzárta-Veronica Guerin története;Joel Schumacher;Amerikai Egyesült Államok, Írország, Egyesült Királyság;2003;98
Keresztanya;Jonathan Demme;Amerikai Egyesült Államok;1988;104
Star Trek 5. A végső határ;William Shatner;Amerikai Egyesült Államok;1989;107
Star Trek 6. Nem ismert tartomány;Nicholas Meyer;Amerikai Egyesült Államok;1991;113
Sekély Sírhant;Danny Boyle;Egyesült Királyság;1994;89
Tavasz, nyár, ősz, tél…és tavasz;Ki-duk Kim;Dél-Korea;2003;103
Andrej Rubljov;Andrei Tarkovsky;Szovjetunió;1969;205
Kőtutaj;George Sluizer;Spanyolország, Hollandia, Portugália;2002;117
Törökfürdő;Ferzan Ozpetek;Olaszország, Törökország, Spanyolország;1997;94
A neveletlen hercegnő 2: Eljegyzés a kastélyban;Garry Marshall;Amerikai Egyesült Államok;2004;113
Szégyenfolt;Robert Benton;Németország, Franciaország, Amerikai Egyesült Államok;2003;106
Könyörtelenek;Mikael Hafström;Svédország;2003;113
Vasmarok;Jing Wong;Hongkong;1993;111
Kabinláz;Eli Roth;Amerikai Egyesült Államok;2002;93
Trainspotting;Danny Boyle;Egyesült Királyság;1995;94
Véres valóság-show;Rafal Zielinskí;Amerikai Egyesült Államok;2002;88
Vágyastársak;Emilio Martínez Lázaro;Spanyolország;2002;114
Világok arca: Baraka;Ron Fricke;Amerikai Egyesült Államok;1992;96
De Lovely - Ragyogó évek;Irwin Winkler;Egyesült Királyság, Amerikai Egyesült Államok;2004;125
Kalandférgek;Danny Leiner;Kanada, Németország, Amerikai Egyesült Államok;2004;88
Az utolsó jelenet;Jeff Nathanson;Amerikai Egyesült Államok;2004;93
Mobil;David R. Ellis;Németország, Amerikai Egyesült Államok;2004;94
Csodálatos Júlia;Szabó István;Magyarország, Amerikai Egyesült Államok, Kanada, Egyesült Királyság;2004;104
A hihetetlen család;Brad Bird;Amerikai Egyesült Államok;2004;115
Kelekótya karácsony;Joe Roth;Amerikai Egyesült Államok;2004;99
Polar Expressz;Ismeretlen;Amerikai Egyesült Államok;2004;99
Az Ördögűző : A kezdet;Renny Harlin;Amerikai Egyesült Államok;2004;114
József és testvérei;Jeles András;Magyarország;2003;100
A temetetlen halott;Mészáros Márta;Szlovákia, Magyarország, Lengyelország;2004;127
Másnap;Janisch Attila;Magyarország;2004;120
Csak Ön után;Pierre Salvadori;Franciaország;2003;110
Mazsola és Tádé: Volt egyszer egy kismalac I-IX.;Kende Márta;Magyarország;1977;101
A múmia visszatér;Stephen Sommers;Amerikai Egyesült Államok;2001;130
Az átok;Jan de Bont;Amerikai Egyesült Államok;1999;113
Jurassik Park 1.;Steven Spielberg;Amerikai Egyesült Államok;1993;127
Jurassik Park 2.;Steven Spielberg;Amerikai Egyesült Államok;1997;129
Jurassik Park 3.;Joe Johnston;Amerikai Egyesült Államok;2001;92
Barbie IV.: A hercegnő és a koldus;William Lau;Amerikai Egyesült Államok;2004;84
Őslények országa 2.;Roy Allen Smith;Amerikai Egyesült Államok;1994;73
Őslények országa 3.;Roy Allen Smith;Amerikai Egyesült Államok;1995;71
Őslények országa 4.;Roy Allen Smith;Amerikai Egyesült Államok;1996;74
Őslények országa 8.;Ismeretlen;Amerikai Egyesült Államok;2001;20
Viharmadarak;Jonathan Frakes;Amerikai Egyesült Államok, Egyesült Királyság;2004;95
Igazából szerelem;Richard Curtis;Németország, Egyesült Királyság, Franciaország;2003;135
Háború  ;Jon Avnet;Amerikai Egyesült Államok;1994;126
Dante pokla;Roger Donaldson;Amerikai Egyesült Államok;1997;108
A grinch;Ron Howard;Amerikai Egyesült Államok;2000;104
Párbaj;Steven Spielberg;Amerikai Egyesült Államok;1972;90
Dracula;Tod Browning;Amerikai Egyesült Államok;1931;85
Frankenstein;James Whale;Amerikai Egyesült Államok;1931;70
Gladiátor;Ismeretlen;Amerikai Egyesült Államok;2000;155
A farkasember;George Waggner;Amerikai Egyesült Államok;1941;103
A szerelem színei;Jocelyn Moorhouse;Amerikai Egyesült Államok;1995;117
Hanta boy;Tom Shadyac;Amerikai Egyesült Államok;1997;86
Fészkes fenevadak;Fred Schepisi, Robert Young;Amerikai Egyesült Államok, Egyesült Királyság;1996;93
Rettegés foka (1962);Ismeretlen;Amerikai Egyesült Államok;1800;106
Godsend;Nick Hamm;Kanada, Amerikai Egyesült Államok;2004;102
Sírhely kilátással;Nick Hurran;Németország, Amerikai Egyesült Államok, Egyesült Királyság;2002;94
Young Adam;David Mackenzie;Franciaország, Egyesült Királyság;2003;98
Nyílt tengeren;Chris Kentis;Amerikai Egyesült Államok;2003;79
Rózsadomb;Mari Cantu;Magyarország, Németország;2003;96
A mandzsúriai jelölt;Jonathan Demme;Amerikai Egyesült Államok;2004;129
Dallas;Pejó Róbert;Németország, Ausztria, Magyarország;2005;93
Alien vs. Predator;Paul W. S. Anderson;Kanada, Amerikai Egyesült Államok, Csehország, Egyesült Királyság, Németország;2004;101
Téli álom;Goran Paskaljevics;Szerbia;2004;95
Zöldhatár;Damjan Kozole;Szlovénia;2003;83
Orion űrhajó - A visszatérés;Michael Braun;Németország;2003;90
5 akadály;Jorgen Leth;Dánia, Belgium, Svédország;2003;90
Haverok;Morten Tyldum;Dánia, Norvégia;2003;100
Kukori és Kotkoda;Mata János;Magyarország;1972;200
A Pál utcai fiúk;Fábri Zoltán;Amerikai Egyesült Államok, Magyarország;1967;110
Stalker I-II.;Andrej Tarkovszkij;Szovjetunió;1979;161
Solaris I-II.;Andrej Tarkovszkij;Szovjetunió;1972;167
Iván gyermekkora;Andrej Tarkovszkij;Szovjetunió;1962;95
Tükör;Andrej Tarkovszkij;Szovjetunió;1974;107
Az ötödik elem;Luc Besson;Franciaország;1997;126
A kísértés csapdái;Bill Bennett;Franciaország, Amerikai Egyesült Államok, Ausztria;2001;95
A kiskirály;Pavel Lungin;Franciaország, Oroszország, Németország;2002;123
A szörny;Steve Miner;Amerikai Egyesült Államok;1999;82
Zu legendája;Hark Tsui;Kína, Hongkong;2001;104
Ameddíg a lábam bírja;Hardy Martins;Németország, Oroszország;2001;44
Az ellenség karmaiban;Tony Giglio;Amerikai Egyesült Államok;2004;94
Ilyen a boksz;Ron Shelton;Amerikai Egyesült Államok;1999;124
Jöttünk, láttunk visszamennénk;Jean-Marie Poiré;Franciaország;1993;107
Cápamese;Bibo Bergeron;Amerikai Egyesült Államok;2004;90
Norman Jewison: Az ítélet;Norman Jewison;Franciaország, Egyesült Királyság, Kanada;2003;120
A sakál;Michael Caton-Jones;Amerikai Egyesült Államok;1997;124
Holtak hajnala;Ismeretlen;Amerikai Egyesült Államok;2004;101
Fényes jövő;Kiyoshi Kurosawa;Japán;2003;115
A pokol anatómiája;Catherine Breillat;Franciaország;2004;87
Tulipános Fanfan;Gérard Krawczyk;Franciaország;2003;97
Másodpercekre a haláltól;Albert Pyun;Amerikai Egyesült Államok;2001;92
Tuti duók;Bruce Paltrow;Amerikai Egyesült Államok;2000;112
Tökös ötös;Emilio Estevez;Amerikai Egyesült Államok;1990;98
Bridget Jones: Mindjárt megőrülök!;Beeban Kidron;Egyesült Királyság;2004;108
Disney Históriák 5.;Hamilton Luske;Amerikai Egyesült Államok;2003;49
Mulan 2.;Darrell Rooney;Amerikai Egyesült Államok;2004;79
Orca, a gyilkos bálna;Michael Anderson;Amerikai Egyesült Államok;1977;92
Piszkos alku;John Irvin;Amerikai Egyesült Államok;1986;106
Mickey volt kétszer egy karácsony;Matthew O'Callaghan;Amerikai Egyesült Államok;2004;68
Gézengúzok karácsonya;Robert Lieberman;Amerikai Egyesült Államok;1991;92
Halálbiztos vizsga;Brian Robbins;Amerikai Egyesült Államok;2004;93
Bionicle 2- Metru Nui legendája;Terry Shakespeare;Amerikai Egyesült Államok;2004;75
Star Trek 7 - Új generáció;David Carson;Amerikai Egyesült Államok;1994;113
Télapó nyomában;William R. Kowalchuk;Amerikai Egyesült Államok;2004;80
Párosban a városban;Sam Weisman;Amerikai Egyesült Államok;1999;90
A sáska napja;John Schlesinger;Amerikai Egyesült Államok;1975;144
Rambo II.;George P. Cosmatos;Amerikai Egyesült Államok;1985;96
Borzasztó emberek;David Zucker, Jerry Zucker, Jim Abrahams;Amerikai Egyesült Államok;1986;93
Egy ártatlan ember;Peter Yates;Amerikai Egyesült Államok;1998;113
Nicholas Nickleby;Douglas McGrath;Egyesült Királyság, Németország, Amerikai Egyesült Államok;2002;132
Csoda a jégen;Gavin O'Connor;Amerikai Egyesült Államok;2004;135
Kapd el a kölyköt;Bart Freundlich;Amerikai Egyesült Államok, Németország;2004;91
Super Size me;Morgan Spurlock;Amerikai Egyesült Államok;2004;100
A zongorista;Roman Polanski;Németország, Egyesült Királyság, Lengyelország, Franciaország;2002;150
Kretének de extrémek;Djamel Bensalah;Franciaország;2002;94
A pillangó;Philippe Muyl;Franciaország;2002;85
Az arany markában;David Mamet;Amerikai Egyesült Államok;2001;109
A felejtés virágai;Elie Chouraqui;Franciaország;2000;130
Balhé;Brad Mirman;Amerikai Egyesült Államok, Kanada;2003;105
Az igazság órája;Michael Caton-Jones;Amerikai Egyesült Államok;2002;108
Mégis szép a világ;Frank Capra;Amerikai Egyesült Államok;1946;86
Delicate Deliquent;Don McGuire;Amerikai Egyesült Államok;1957;101
This Property is Condemned;Sydney Pollack;Amerikai Egyesült Államok;1966;110
Bell's of St. Mary's;Leo McCarey;Amerikai Egyesült Államok;1945;126
Vágy a szilfák alatt;Delbert Mann;Amerikai Egyesült Államok;1958;111
Arthur király;Antoine Fuqua;Amerikai Egyesült Államok;2004;119
Deadwood – 1 Season;Ismeretlen;Amerikai Egyesült Államok;1800;0
Trekkies 2;Roger Nygard;Amerikai Egyesült Államok;2004;93
Áldott bolygó;Jon Long;Amerikai Egyesült Államok, Kanada;2004;0
Shadow makers;Roland Joffé;Amerikai Egyesült Államok;1989;0
A vasálarcos;Randall Wallace;Amerikai Egyesült Államok, Egyesült Királyság;1998;0
Sohase mondd, hogy soha;Irvin Kershner;Amerikai Egyesült Államok, Németország, Egyesült Királyság;1983;0
Pár dollárral többért;Sergio Leone;Spanyolország, Németország, Olaszország;1965;0
Parallax-terv;Alan J. Pakula;Amerikai Egyesült Államok;1974;0
Kalifornia - A halál nem utazik egyedül;Dominic Sena;Amerikai Egyesült Államok;1993;0
Balti vihar;Reuben Leder;Németország, Egyesült Királyság;2003;0
Vidéki lány;George Seaton;Amerikai Egyesült Államok;1954;0
Országúti diszkó;Rowdy Herrington;Amerikai Egyesült Államok;1989;0
Dilidoki;Jerry Lewis;Amerikai Egyesült Államok;1963;0
Égi tűz;Robert Lieberman;Amerikai Egyesült Államok;1993;0
Űrrandevú;Joe Dante;Amerikai Egyesült Államok;1985;0
In Harns Way;Otto Preminger;Amerikai Egyesült Államok;1965;0
Térj vissza, kicsi Sheba!;Daniel Mann;Amerikai Egyesült Államok;1952;0
Kisanyám, avagy mostantól minden más;Garry Marshall;Amerikai Egyesült Államok;2004;0
RAY;Taylor Hackford;Amerikai Egyesült Államok;2004;0
