cím;rendezo;gyarto;ev;hossz
Nincs határ;Gregor Jordan;Amerikai Egyesült Államok;2010;97
Miska Borjú kalandjai I. rész;ismeretlen;Magyarország;2011;5
Miska Borjú kalandjai II. rész;ismeretlen;Magyarország;2011;5
Lazacfogás Jemenben;Lasse Hallström;Egyesült Királyság;2011;107
Fehér pokol;Joe Carnahan;Amerikai Egyesült Államok;2012;117
Stone;John Curran;Magyarország;2010;105
A király nevében 2. - Két világ;Uwe Boll;Németország;2011;96
Titánok haragja (3D);Jonathan Liebesman;Amerikai Egyesült Államok;2012;100
Hasta La Vista!;Geoffrey Enthoven;Belgium;2011;115
Pokoli igazság;Danny Lerner;Amerikai Egyesült Államok;2009;90
Fejvadászok;Morten Tyldum;Amerikai Egyesült Államok;2011;100
A fekete ruhás nő;James Watkins;Amerikai Egyesült Államok;2011;98
Ördögi út a boldogsághoz;Alec Baldwin;Amerikai Egyesült Államok;2006;99
A bosszú jogán;Roger Donaldson;Amerikai Egyesült Államok;2011;99
180/100;Lőrincz Nándor, Nagy Bálint;Magyarország;2011;25
Amerikai pite - A találkozó;Jon Hurwitz;Amerikai Egyesült Államok;2012;114
Szárnyas fejvadász 2049;Denis Villeneuve;Amerikai Egyesült Államok;2017;164
Szerelem tesztelve;Carine Tratdieu;Belgium, Franciaország;2017;100
Have a nice day;Liu Jian;Kína;2017;77
Anyám mozija;Nanni Moretti;Olaszország;2015;106
anyám!;Darren Aronofsky;Amerikai Egyesült Államok;2017;121
Madame;Amanda Sthers;Franciaország;2017;91
Django;Etienne Comar;Franciaország;2017;117
A préri pacsirtája;Dargay Attila;Magyarország;1991;12
Zsuzsu locsol;Dargay Attila;Magyarország;1972;2
Rendhagyó történetek;Dargay Attila;Magyarország;1970;10
Gusztáv és a vadászeb;Dargay Attila;Magyarország;1966;5
Ne hagyd magad, emberke!;Dargay Attila;Magyarország;1959;18
Visszajelzés;Dargay Attila;Magyarország;1977;2
Ámor Op.1.;Dargay Attila;Magyarország;1972;2
Salamon király kalandjai;Albert Hanan Kaminski;Magyarország, Izrael;2017;80
A kis vámpír;Karsten Kiilerich, Richard Claus;Németország, Dánia, Egyesült Királyság;2017;82
HHhH - Himmler agyát Heydrichnek hívják;Cédric Jimenez;Egyesült Királyság, Amerikai Egyesült Államok, Franciaország, Belgium;2017;119
Borg/McEnroe;Janus Metz;Finnország, Svédország, Dánia;2017;107
Hét nővér;Tommy Wirkola;Egyesült Királyság, Belgium, Franciaország;2017;123
Vakrandim az élettel;Marc Rothemund;Németország;2017;111
Aurora Borealis;Mészáros Márta;Magyarország;2017;104
Béres Alaxandra - MOST;Fehér Krisztián;Magyarország;2017;52
Hóember;Tomas Alfredson;Amerikai Egyesült Államok;2017;117
Boldog halálnapot!;Christopher Landon;Amerikai Egyesült Államok;2017;97
Suburbicon;George Clooney;Amerikai Egyesült Államok;2017;104
Chucky kultusza;Don Mancini;Amerikai Egyesült Államok;2017;91
Az élet ára - a Weiss Manfréd-család története;Katona Zsuzsa;Magyarország;2017;93
Mikulás karácsonyra;Terje Rangnes;Norvégia;2016;70
Hajrá, mozdony!;Dragay Attila;Magyarország;1972;9
A széf;Dan Bush;Amerikai Egyesült Államok;2017;91
Dupla szerető;François Ozon;Franciaország;2017;107
A szerelem vak;Michael Mailer;Amerikai Egyesült Államok, Franciaország;2017;98
Trónok harca 7.évad: 1. Sárkánykő ;Jeremy Podeswa;Amerikai Egyesült Államok;2017;56
Trónok harca 7.évad: 2. Viharbanszületett ;Mark Mylod;Amerikai Egyesült Államok;2017;56
Trónok harca 7.évad: 3. A királynő igazságszolgáltatása;Mark Mylod;Amerikai Egyesült Államok;2017;60
Trónok harca 7.évad: 4. A hadizsákmány;Matt Shakman;Amerikai Egyesült Államok;2017;47
Trónok harca 7.évad: 5. A Keleti Őrség;Matt Shakman;Amerikai Egyesült Államok;2017;56
Trónok harca 7.évad: 6. A Falon túl;Alan Taylor;Amerikai Egyesült Államok;2017;67
Trónok harca 7.évad: 7. A sárkány és a farkas;Jeremy Podeswa;Amerikai Egyesült Államok;2017;77
